comment_text,like_count,published_at
"BLINKS ÚLTIMAMENTE EH ESTADO VIENDO MUCHOS COMENTARIOS EN ESPAÑOL, LATINOAMÉRICA ARRASANDO<3",1438,2021-05-25T20:32:25Z
This was the first song i heard from.Blackpink... still is legendary,0,2025-07-05T19:09:14Z
BLACKPINK grabs another record as 'How You Like That' becomes the fastest Kpop Girl Group MV to hit 900M views on youtube.,759,2021-06-24T12:50:32Z
"FALTA MUY POCO PARA EL 1B, VAMOS BLINKS, POR LAS CHICAS, BLACKPINK IS REVOLUTION
BLACKPINK IN YOUR AREA !!",734,2021-11-11T20:42:21Z
"""look at you now look at me""

Blackpink you don't need make us feel more potato than we already are!!!",515,2020-06-26T09:10:31Z
"This is so nostalgic🥺💖

Old is diamond💎🎀......",0,2025-07-27T06:16:45Z
"Words cannot describe how much I like this song, it's a pity that songs are no longer released 🥹",237,2024-12-05T21:41:49Z
"Encerio, pongan empeño realmente tenemos que llegar al Billón no perdamos las esperanzas, y si no completamos al menos lo intentamos",393,2021-08-04T05:10:47Z
We’ve almost hit 50M in 10 hours blinks! This is an amazing achievement - BE PROUD,509,2020-06-26T19:45:02Z
I'm in love with this mv so much.. so I came back to watch it again!,0,2025-07-22T10:45:47Z
"1st listhen: okay....
2nd listen: badabing badabing
3rd listen: LOOK AT YOU NOW LOOK AT ME",574,2020-06-26T09:03:36Z
"1 second of the video plays:
me: ISSA BOP",1818,2020-06-26T09:03:02Z
"director: ""how many umbrellas?""
jennie: ""yes""",763,2020-06-26T09:02:29Z
Are we not gonna ignore the Visuals? Amazing.,0,2025-07-22T13:39:27Z
"《BLINK'S HACIENDO STR3AM PARA EL BILLÓN 》
AQUÍ 《INSERTE LIKE》",525,2021-04-23T21:58:08Z
"*""LOOK AT YOU, NOW LOOK AT ME""* 
ME: JUST LOOKING AT THEM AT AWE",1060,2020-06-26T09:06:16Z
"My bestfriend and I after quarantine

""LoOk aT MeE NoW LoOk At YoUu""",204,2020-06-26T09:23:32Z
I love you blakpink ❤❤❤,0,2025-07-26T14:41:55Z
"""HOW YOU LIKE THAT""
""NA DEUL SSET""

I LIKE PART",127,2020-06-26T09:14:04Z
