comment_text,like_count,published_at
"""It's a bird it's a plane""

Us after *quarantine* .",148,2020-06-26T09:21:25Z
Blackpink is that diva ❤💋,1,2025-07-11T16:39:27Z
"Producers: So how many back up dancers do you want?

BP: yes",400,2020-06-26T09:12:53Z
"No one:

Literally no one:

The comments:
""No one"" ""Literally no one""",240,2020-06-26T09:43:09Z
can ppl stop saying “no one” “literally no one?”,134,2020-06-26T09:47:13Z
Who's happy that our queens are back,2,2025-07-05T13:56:00Z
"No one :
Absolutely no one:
Everyone in the comments: loOk aT mE LoOk aT yOU",205,2020-06-26T09:17:57Z
NEW TARGET 85M. LEZGO BLINKS!! We still have 1hr and 15mins left. LEZGO!!!,125,2020-06-27T07:43:50Z
"friend: if you an artist and appear in this mv, who would you be?
me: probably the donkey",131,2020-06-26T09:08:29Z
Can't believe it's been 5 years to this ART,8,2025-07-03T22:30:21Z
"nobody:
not even my cats poop:
me: dancing and singing on the floor like a total idiot  
i lovcee you QUEEN
I ALREADY REMOVE THE EMOJI..",436,2020-06-26T09:21:27Z
"no one:
literally no one:
comments:
 nobody: 
not even:",247,2020-06-26T08:52:56Z
"pq les cuesta tanto hacer str34mn? NECESITAMOS LLEGAR AL BILLÓN, MUEVANSEEEEEEE",165,2021-05-25T03:38:35Z
this comeback save me from pandemic,3,2025-07-17T03:51:45Z
"Me: There she is .... my angelsé.
Rosé: who said I was an angel. 
She just killed me and that ski mask oh god",132,2020-06-26T09:21:07Z
Why are the comments like “no one:”,488,2020-06-26T09:25:12Z
"Nobody:
Not even me:
My mum : comes into my room while i listen to the song the first time and shows me a new pair of socks that she bought for me",156,2020-06-26T09:16:18Z
NOW WE ARE READY FOR JUMP 😍,2,2025-07-07T18:53:37Z
"Most of the comment:
“NOBODY”
“Literally No One”
“Delete emoji”",311,2020-06-26T09:46:43Z
"JENNIE: LOOK AT YOU NOW LOOK AT ME

Me:
The ghost beside me:
The spider at home:",148,2020-06-26T10:23:48Z
"""Look up the sky, It's a bird, It's a plane""

Me being dumb who actually thought there's an airplane and a bird: *where?!*",287,2020-06-26T09:08:52Z
love this masterpiece that's why i kept on coming back,0,2025-07-12T11:26:46Z
"BLACKPINK:. ""NOW LOOK AT YOU, NOW LOOK AT ME""
Me: * Checks myself in the mirror *",134,2020-06-26T09:50:20Z
just a normal comment coming thru,628,2020-06-26T15:47:25Z
don’t look at the fact that there’s 1mil dislikes look at how there’s 19mil likes,119,2021-02-12T21:07:48Z
"After 5 years, this song is still golden ❤",5,2025-07-12T08:35:40Z
ME STILL THINKING ABOUT WHY YG MV HAVE A TRIANGLE •_•,127,2020-06-26T09:14:42Z
"No one:
Literally no one:

YouTube: oh, lemme freeze this. Ha ha how you like that?",174,2020-06-26T10:18:49Z
"كمت ابجي بسبب فخامه الاغنيه احبكم يا كوينز الامه
I love you blackpink my queens
edit:thanks for 100 like 
تعديل:شكرا ؏ 100 لايك",190,2020-06-26T11:47:14Z
The song is crazy and Black Pink is crazy🖤💗😭,1,2025-07-13T19:34:20Z
"*If you're Filipino, you'll know all the memes circulating about Jennie's pose.* *lol*",161,2020-06-26T09:28:46Z
"me: nowadays I studied Korean a lot. I'll understand every single thing in this song

me: one two three? at 00:40",207,2020-06-26T16:39:20Z
"1:04 Lisa's silver front tooth looks coooool!!! 
Wow! Going 170M!! 
How y'all like that!",123,2020-06-29T13:19:49Z
This brings back so many memories. My daughters love this song. They used to sing and dance to this song.,1,2025-07-22T03:35:28Z
"Blackpink be like: how you like that? 


Me: yes I really like that!!",247,2020-06-26T09:23:05Z
"Litterally Nobody :     

Me for the next 2 months: Look at you Now look at me",147,2020-06-26T09:07:10Z
"""Look at you now look at me"" BP showing us our reality  potato heads RISE UP",165,2020-06-26T09:10:53Z
"They look so different, then they're princesses, now they're queens",0,2025-07-19T14:04:43Z
"2019 : KILL ME
2020 : How to make me die
2021 : Funeral",711,2020-06-26T09:10:41Z
"BLINKS HEADLINES!!!!
BLACKPINK WILL SOON HAVE A COMEBACK IN 2025!!!!
LETS SHAKE THE KPOP INDUSTRY ONCE AGAIN AND SUPPORT OUR GIRLS!!!",191,2024-07-21T19:28:57Z
"For the next 2 hours all the comments are gonna be: ""I'm early""",125,2020-06-26T09:51:56Z
Fabulous powerful legendry song it's my favorite song 😊😊😊💪,0,2025-07-01T17:45:12Z
2025년 사람 있나요?,158,2025-07-01T10:46:26Z
"Y'all Why does everyone have to comment like
""no one""
""Literally no one""
: /",216,2020-06-26T10:09:19Z
"When you’re seriously not bothered to comment in the live chat cuz no ones actually gonna read it:




U type it in the proper chat so u can get noticed",172,2020-06-26T09:00:17Z
Finally black pink is back to gather yay 🖤💖,1,2025-07-16T22:21:48Z
"No one:
Literally no one:
Everyone: gets hundreds of likes in seconds.

HOW YOU LIKE THAT",381,2020-06-26T09:41:11Z
"this is fokken aaawesome, but did ya listen to STAS CHEKIROV - PAGER ???",2313,2025-02-22T15:01:52Z
"Me finding a comment that talks about their song

Reality : no one , no one literally noone no no no one.......",121,2020-06-26T10:22:11Z
"Ah the memories
My very first kpop song
First kpop group i ever stanned
I love them for helping me discover what i like and i will never get bored of",2,2025-07-16T02:13:14Z
"No one:

Literally no one:

Me: why the views are not increasing???",141,2020-06-26T09:57:36Z
Edited so y'all don't know what I said. Keep streaming!!,343,2020-06-26T09:40:01Z
Me after my mom drops something and I call her a mistake: *how you like that*,474,2020-06-26T09:09:57Z
이 뮤직비디오랑 노래 너무 좋아요 ❤️ 🖤💗,2,2025-07-18T09:40:13Z
"No one;

Literally no one;


Comment section; ""Literally no one;""",247,2020-06-26T09:22:49Z
"No one:
'Likes'  to 'v!3ws': LOOK AT YOU NOW LOOK AT ME
v!3ws: TT
Dislikes:HOW YOU LIKE THAT",138,2020-06-26T09:54:05Z
"The language of the song: 1️⃣/2️⃣

The language of the comments: 1️⃣9️⃣9️⃣9️⃣9️⃣9️⃣9️⃣


HOLY SKKSKJ ALMOST 200 LIKES IN 1 MINUTE I-",178,2020-06-26T08:59:02Z
BLACKPINK IN YOUR AREA❤❤❤❤❤❤,3,2025-07-20T11:54:16Z
"No one:
Literally no one:

ppl having 500 likes in just seconds.",403,2020-06-26T09:38:46Z
HOLY MOLY WE ARE SO CLOSE TO 80M,238,2020-06-27T07:42:06Z
"Me at 4:AM probably waking up my entire  family: ""lOoK aT yOu, nOw lOoK aT mE.""",160,2020-06-26T09:22:24Z
블랙핑크 너무 사랑해요~♡♡♡ 이 노래 저처럼 좋아하신 분은 이 이모지 꼭 눌러주세요 👐,2,2025-07-24T18:51:56Z
"""Look at me now look at you""
Me looking at my self  - bends the knees to the queens in a sec

PS: thank you for the likes. When you have time go check out my music video reviews. of Blackpink, txt, dreamcatcher, twice and so on 🙏",251,2020-06-26T09:09:01Z
The person that's reading this I know you're not ok,466,2020-06-26T09:03:06Z
"*ATENCION: Hagan Stream A HYLT, Porque Blackpink Esta Punto De Perder El Primer Lugar En Ser El Único Grupo Kpop En Tener 4 Videos Oficiales En Tener 1 Billón De Reproducciones Pasen La Voz, Difundan El Mensaje*",172,2021-07-26T23:24:07Z
Ily Bp💗🖤,0,2025-07-11T18:06:29Z
"Youtube: 5minutes ago 2 views
Comments: 60K
Me: O_O YouTube’s drunk again...",125,2020-06-26T09:08:56Z
WHY IS THERE THE SAME COMMENT EVERYWHERE IM CONFUSED HELP,208,2020-06-26T15:46:06Z
"Ok this ""no one"" thing in the comments are getting annoying",153,2020-06-26T09:51:44Z
This song was and is still a whole vibe,1,2025-07-24T16:09:53Z
"No one:
Literally no one:


Me: wondering how people getting 1k likes in just a minute",373,2020-06-26T09:55:44Z
"No one:
YouTube: let’s freeze the v13ws",178,2020-06-26T09:22:42Z
"Them: ""how you like that?""
Blinks: *dead*",190,2020-06-26T09:08:37Z
HOW YOU LIKE THAT WILL NEVER LOSE ITS SHINE !✨,0,2025-07-18T22:18:58Z
"No one:
Literally no one:
YG: Green screen who? I only know how to spend millions for my artist's mv",162,2020-06-26T10:17:00Z
"Filipinos be like:
From “ha? Hakdog”
To “ha? How you like that”",297,2020-06-26T10:21:11Z
Then when i sneeze :  ha how you like that.,165,2020-06-26T09:06:53Z
"Here after watching jump mv. This was peak blackpink energy , i miss HYLT days 😢",1,2025-07-11T10:24:10Z
"No one:


The comments here:
""No one:
Literally no one:""",252,2020-06-26T09:43:01Z
ARKADAŞLAR STR2AM KASIN 200 MILYON YAPALIM LUTFEN,161,2020-07-01T11:35:34Z
"when did everyone agree to use ""no one:     literally no one:"" things in this comment section though??",236,2020-06-26T09:38:29Z
Blackpink in your area,1,2025-07-22T02:42:09Z
"Everyone: ""Still no antidote for Covid19""
Blink: WELL BLACK PINK NAILED IT. ***bye covid",169,2020-06-26T09:08:00Z
"Them: LOOOK AT YOU NOW LOOK AT ME
Me looking like a rotten potato watching this.",405,2020-06-26T09:09:26Z
"how To pronoune ""How you Like that""

Them: ""how you like that""
Me: ""song Of the year ""

PERIODT.


Edit: DONT REPLY ON MY COMMENT IF U DON'T GET THE JOKE.🙂",256,2020-06-26T09:17:12Z
What a beautiful song todoquever😍😍,2,2025-07-11T15:08:26Z
"blinks: where are the views
youtube: no comment.",135,2020-06-26T09:19:15Z
"no one:
literally no one:


everyone in the comments: getting 100 likes in less than a minute",283,2020-06-26T09:58:58Z
"Nobody:



Even my mom:



Me: look at me now look at you",143,2020-06-26T09:18:37Z
Blackpink in your area,2,2025-07-20T17:59:12Z
I just think its funny how yall clearly dont know how youtube works. All these spam comments help them get views because of the algorithm,253,2020-06-27T07:42:37Z
"No one:
Literally no one:
Comments: 
No one:
Literally no one:",203,2020-06-26T09:25:45Z
"No one:

Literally no one:

YouTube: *Let's freeze views*",277,2020-06-26T09:44:37Z
Can't wait to see you in Paris 2 and 3 August 🥰,2,2025-07-08T08:36:25Z
why is everyone commenting same thing,294,2020-06-26T15:47:35Z
"Why is everyone commenting 
the same comment
I’m confused and getting dizzy",376,2020-06-26T13:03:30Z
"En chile son las 02:17 de la noche
Pero no me importa me voy a quedar hasta las 6 si es necesario",136,2020-12-15T05:16:24Z
can't wait for their new album,1,2025-07-17T03:50:23Z
"Nobody:

YouTube: ""Let's freeze the views!""

edit: nothing happened, still 457k views",120,2020-06-26T10:28:56Z
Mi mama: SUBELE EL VOLUMEN A ESA SONG!!!,185,2020-06-26T09:03:32Z
"No one:
Literally no one:
Me: everybody is getting 100s of like in a sec 0-0",126,2020-06-26T09:43:10Z
1.3 billion proud of u blinks lets take it to 2 billion sooon,0,2025-07-14T16:55:28Z
"No one:
Literally no one:
Me:*screaming so loud that my brother think im crazy*",150,2020-06-26T08:56:45Z
"no one:
youtube: aight, imma do what I do best **crashes**

edit: sankyu I didn't expect I'll get that much likes ㅋㅋㅋ",235,2020-06-26T09:23:28Z
"No one:
Literally no one:
Everyone in the comments: getting a hundred likes in a second",176,2020-06-26T10:02:02Z
Im so ready for their comeback omgggg 👏🏻,1,2025-07-09T02:04:55Z
"No one:
Literally no one:


Eveyone talking about how everyone is getting 100 likes every minute",120,2020-06-26T10:01:47Z
"No one:
Literally no one:
Everyone: get hundred of likes less than a minute",124,2020-06-26T10:26:25Z
Pubg mobileden gelenler artı1,215,2020-09-24T21:57:44Z
BLACKPINK IS THE BEST 🖤💗,1,2025-07-09T20:28:31Z
"No one 

Literally no one:

Me: people get so many likes in one second",248,2020-06-26T09:42:46Z
"Никто:
Абсолютно никто:
Все: комментируют это и не получают лайков",296,2020-06-26T15:46:54Z
why this has 180likes?,174,2020-06-26T09:26:38Z
FINALLY THE QUEENS ARE BACK!!! QUEENS OF K-POP ARE HERE BLACKPINK IN YOUR AREA,1,2025-07-11T11:55:18Z
Who came here from Pubg mobile,281,2020-09-24T15:12:20Z
"Srsly can we just stop using 
No one : 
Literally no one:
It's annoying AF",124,2020-06-26T09:44:30Z
.,275,2020-06-26T09:51:38Z
Lindas divas arrasaram voltaram com tudo parabéns divaaaas❤❤❤,2,2025-07-11T15:36:28Z
66million until 1.4b!!! Keep streaming Blinks,2,2025-07-05T21:08:19Z
"Pandemic Time when the song was released, the nostalgic feeling",1,2025-07-03T21:25:28Z
Love itttt,2,2025-07-23T04:20:43Z
I can say they look the prettiest in HYLT era!!!,1,2025-07-15T15:55:09Z
"amo esta cancion,la sigo escuchando a pesar de los años, las mejores",2,2025-07-12T22:11:22Z
BLACKPINK WILL NEVER BE FORGOTTEN,0,2025-07-19T08:11:35Z
Can't believe it's already 5 yearsss omg my queens,1,2025-07-17T13:54:12Z
i miss this blackpink.,1,2025-07-02T19:50:45Z
Blackpink in your area😎,1,2025-07-11T13:19:24Z
blackpink love you forver🖤🖤🖤🖤🖤🖤💓💓💓💓💓💓,0,2025-07-14T13:56:01Z
so happy theyre back❤,0,2025-07-21T15:43:21Z
Feel in Love,1,2025-07-13T19:08:42Z
"Amava essa música, hoje estou ouvindo ela novamente e sinto a mesma energia que sentia!",0,2025-07-08T04:29:35Z
이 노래 블랙핑크 방탄소년단 정말 좋아했어요 ❤,3,2025-07-03T23:32:57Z
nostalgic hit,1,2025-07-12T06:48:58Z
Everyone's favourite blackpink song❤🥺,0,2025-07-16T12:00:41Z
Estás chicas son geniales,1,2025-07-27T04:15:07Z
Biggest fan ever,1,2025-07-17T21:11:18Z
My favorite song ❤❤❤ I am blackpink fan ❤❤❤,0,2025-07-06T08:23:06Z
اليووممم عودتتت بلاك بينككك حماسسسس🩷🖤,1,2025-07-05T15:40:16Z
국뽕에 미치게 만드는 슬기로운 영상....😊😊😊,3,2025-07-05T11:36:22Z
I love this music❤❤❤❤❤,0,2025-07-20T09:13:30Z
They slay so hard,0,2025-07-09T20:43:24Z
this is best song OMG,1,2025-07-19T18:24:17Z
My first k-pop song,2,2025-07-13T10:44:31Z
I love you BLACKPINK❤,1,2025-07-02T19:21:43Z
I'm here after Jump hehe,7,2025-07-11T04:19:03Z
I like it!,2,2025-07-16T22:18:22Z
"I love this song of  
                 (BLACKPINK)",0,2025-07-26T08:59:03Z
"STREAM ""JUMP"" PLEASEEEEEEEEEEEE",5,2025-07-11T04:21:34Z
Listening to bp old song waiting for new   comeback 😢,1,2025-07-02T12:12:24Z
bring me back to the first time I heard how you like that it does not feel the same hearing it now,1,2025-07-11T05:08:18Z
BLACKPINK IN YOU AREA 🗣️🗣️🗣️,1,2025-07-11T23:32:55Z
Blackpink in your areaaaa!!!😂,4,2025-07-11T21:16:08Z
Lisa’s part is epic,5,2025-07-20T23:33:22Z
"Please don't hate them, love them they have crystal clear noble hearts ❤",0,2025-07-10T13:20:45Z
how u like that ❤️‍🔥,1,2025-07-14T09:06:52Z
BLACKPINKが大好きです。彼女たちは独特の輝きがあって、私のお気に入りのアイドルです❤️,0,2025-07-16T20:18:29Z
Here before Deadline world tour❤,2,2025-07-04T16:09:15Z
BLINKS stream JUMP on all the platforms 🔥🔥,2,2025-07-11T06:21:59Z
"Ellas devoraron, no dejaron ni la más minima migaja 🔥🔥",0,2025-07-11T14:57:21Z
The best music of blackpink,0,2025-07-11T17:07:25Z
I love blackpink ❤,2,2025-07-22T14:42:45Z
Miss this BLACKPINK ..,0,2025-07-14T21:49:17Z
5 years later and this is still the best kpop outro ;-;,1,2025-07-13T08:07:58Z
Who's here after jump?,13,2025-07-11T04:26:25Z
love youuu,1,2025-07-12T12:54:50Z
How You Like That comeback is the best,1,2025-07-20T04:29:24Z
Who's after JUMP,13,2025-07-11T04:48:26Z
ME ENCANTOO❤❤❤,1,2025-07-12T20:35:44Z
Anyone after JUMP???,7,2025-07-17T03:22:24Z
BLACKPINK IS BACK,0,2025-07-08T02:20:24Z
"The ""JUMP"" song is best yeeeaaaaaaaaa😏😜I love you guys (BLACKPINK)❤❤❤❤",6,2025-07-11T15:57:31Z
Blinks let's stream all of our queens songs,3,2025-07-04T18:33:23Z
"5 years of this hit, and I haven't gotten over it (I probably never will 💔)",0,2025-07-27T01:42:59Z
"2025 and i still love it plus the heck the nostalgia be hitting hard today, this video literally got me into kpop now i really wanna become a idol!",2,2025-07-12T15:08:10Z
South Koreans taking the world by storm....❤🎉,2,2025-07-01T20:07:05Z
I ❤ Blackpink,1,2025-07-16T22:19:19Z
Las que si dan orgullo las que tienen el verdadero nombre de patronas del k-pop,2,2025-07-04T16:29:49Z
BLACKPINK IN OUR AREA AGAIN!🖤💗🎉JUMP💗,0,2025-07-10T15:31:46Z
Hylt era was really dope,1,2025-07-07T18:53:04Z
Blackpink in your area 🖤💗🖤💗🖤💗🖤💗,0,2025-07-06T13:54:46Z
i love it so much,0,2025-07-14T13:54:06Z
La canción del año😍,2,2025-07-11T04:16:31Z
Pasando por dónde crecí🥳,3,2025-07-18T02:43:18Z
Came here after watching  Jump MV ♥️,2,2025-07-11T05:02:47Z
you love music💖💖💖💖💖,0,2025-07-06T02:25:54Z
100 MILHÕES ❤,2,2025-07-06T22:55:25Z
"1,5 Billion  let's go ❤❤❤",0,2025-07-19T06:20:40Z
blackpink best forever🥀,0,2025-07-16T16:45:30Z
Me encanta demasiado el inicio es épico,1,2025-07-08T00:50:44Z
Me encanta este vídeo y la canción también todo es perfecto,1,2025-07-08T00:49:51Z
I liked it❤❤❤❤,2,2025-07-04T11:57:32Z
My first kpop song 🖤🖤🖤💖💖💖💖🔥🔥🔥,0,2025-07-22T17:59:14Z
VAMOS POR LOS 20 MILLONES BLINKSSSSS SI DE PUEDE 🎉🎉🎉🎉🎉,2,2025-07-11T16:24:53Z
"¡Me encanta este video! Las imágenes son increíbles, la música es espectacular, sin duda amo a este grupo.",1,2025-07-12T01:53:53Z
Love the dance scene and the costume changes nice voices 7.1.2025,1,2025-07-01T19:59:08Z
❤❤ wow ❤❤❤❤❤❤❤ i❤u so much BLACKPINK,1,2025-07-25T07:52:37Z
BLACKPINK ESTA DE VUELTA,0,2025-07-11T03:31:59Z
This my Best song❤❤❤,0,2025-07-11T19:51:55Z
Aprovechando a hacer stream a JUMP pasando por mis raices ❤,2,2025-07-11T19:24:43Z
"las amo blackpink,su musica es genial y sus canciones son muy pegajosas y no salen de mi cabeza",1,2025-07-12T22:11:56Z
"“Look at me now look at you”

Yes I’m staring to your soul",2,2025-07-04T20:22:08Z
miss this era….,2,2025-07-02T16:10:32Z
QUEENS,0,2025-07-05T08:42:50Z
Let’s go for 2B,1,2025-07-18T01:37:33Z
"My favourite song, stream jump mv blinks ❤❤❤❤😊",1,2025-07-11T18:07:52Z
"For those who don't know : 
Blackpink is releasing their new single “JUMP” on the 11th of July. PLEASE MAKE SURE TO CHECK IT OUT! 
XOXO",2,2025-07-07T19:50:51Z
I became blink after hearing this song 😂❤,0,2025-07-10T04:52:10Z
Amo esta cancion,1,2025-07-11T04:09:30Z
Lisa  shines like a diomond,1,2025-07-02T10:41:33Z
My favorite song,2,2025-07-08T22:06:57Z
essa sempre vai ser uma das minhas favoritas,0,2025-07-12T03:50:58Z
OMG love it !!!,1,2025-07-11T11:46:56Z
2:26 the beat hits so hard!!!! 🔥🔥🔥,0,2025-07-23T00:45:01Z
Siempre las Mejores 🖤🩷🤗🫶🏻🤗🫶🏻,2,2025-07-12T06:59:14Z
I love blackpink,1,2025-07-15T03:06:27Z
I like how you didn’t use an excessive amount of concealer. Your taste in BlackPink is also appealing. 😍,1,2025-07-01T16:21:52Z
Blackpink Great Show Last Night,2,2025-07-18T22:34:58Z
JENNIE delivers every line with confidence and precision.,0,2025-07-05T07:05:06Z
BLACKPINK FOREVER❤,0,2025-07-06T11:35:22Z
Amoooooo el kpop❤❤❤😊,0,2025-07-23T21:01:59Z
How you like thaaaaaaat!!!!,1,2025-07-15T01:54:32Z
BLACKPINK IS BACK,0,2025-07-11T03:31:47Z
Stream stream other songs while JUMP comes out!!!,4,2025-07-11T03:52:58Z
"1,3 Billion+1,8 Billion:3,2 Billion ❤",0,2025-07-15T10:35:29Z
las blinks las amamos mucho,1,2025-07-12T22:12:08Z
Debemos hacer que esta hermosa y energética canción llegue a 1b!☹️😊,0,2025-07-11T16:45:49Z
Who’s here after JUMP?,4,2025-07-11T18:12:01Z
How cute my girls are 💗😭,0,2025-07-11T00:02:02Z
How you like that by blackpink  unnie is best song,0,2025-07-11T03:32:22Z
2025년 7월… 시간이 흘러도 블랙핑크에 대한 사랑은 여전해요 🖤💖 나는 항상 블링크로 남을 거야 ✨💫,2,2025-07-16T14:22:30Z
Queen back,0,2025-07-11T06:15:54Z
2:10 Jennie's hair is so beautiful.This era will be unforgetablle,3,2025-07-18T08:43:17Z
Love from Bangladesh 🇧🇩,0,2025-07-14T03:02:20Z
no se si me entiendan pero dire que es la mejor cancion que eh escuchado🤎🤎🤎🤎🤎🤎🤎🤎🤎🤎,0,2025-07-11T01:14:41Z
